PMA_1,PMA_2,PMA_3,PMA_4,PMA_5,PMA_6,PMA_7,PMA_8,PMA_9,PMA_10,PMA_11,PMA_12,PMA_13,PMA_14,PMA_15,PMA_16,PMA_17,PMA_18,PMA_19,PMA_20,PMA_21,PMA_22,PMA_23,PMA_24,PMA_25
0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0
0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1
0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0
0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1
1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0
0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1
0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1
1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1
0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0
1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,0
0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1
0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1
0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1
0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1
0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1
0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0
0,0,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0
0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1
0,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1
1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0
1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0
0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0
0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,1,1,0
1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0
0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1
0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1
0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,1
1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0
0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0
0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0
0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0
1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0
0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1
0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0
0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0
0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1
0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0
1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1
0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0
1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0
0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1
0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0
1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1
1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,1
1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,1
0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1
0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0
0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,0
0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0
0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0
0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0
0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0
0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0
0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,1
1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1
1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,0
1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0
0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0
0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1
0,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0
0,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
0,1,0,0,1,1,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1
0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,1
0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1
1,0,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0
0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1
1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0
1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1
0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0
1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0
0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0
0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1
0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1
0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1
0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0
0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0
1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0
1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0
1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1
0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,1
0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0
1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0
0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0
0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1
0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0
0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1
0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
0,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0
1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1
1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0
0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,0
0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0
0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1
0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1
1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1
0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1
0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1
1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0
0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1
0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,1
0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,1
1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1
0,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,1,1,1
1,1,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0
1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,1,1,0,1
0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1
0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1
0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1
0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0
0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0
