Palabra,Puntuacion,Word
censurado,-2,censored
censurar,-2,censor
ceñudo,-1,frowning
cernía,-1,loomed
cerveza negra,2,stout
chagrined,-2,chagrined
chiflado por,2,infatuated
chispa,1,spark
chistes,2,jokes
chistoso,2,humourous
chivo expiatorio,-2,scapegoat
chocante,-2,shocking
chocar,-1,collide
choque,-2,clash
choque,-2,crash
choque,-2,shock
choques,-2,shocks
chupa,-3,sucks
chupar,-3,suck
ciego,-1,blind
cielo,2,heaven
cierto,1,certain
cierto,2,true
cínico,-2,cynic
cínico,-2,cynical
cinismo,-2,cynicism
claramente,1,clearly
claridad,2,clarity
claro,1,clear
coaccionado,-2,coerced
cobarde,-2,coward
cobardemente,-2,cowardly
cobrar,-2,cashing in
Cocksuckers,-5,cocksuckers
codicia,-3,greed
codicioso,-2,greedy
cojo,-2,lame
colapsado,-2,collapsed
colapso,-2,collapse
colapso,-2,collapsing
colapsos,-2,collapses
colérico,-3,wrathful
colisión,-2,collision
colisiona,-1,collides
colisionando,-1,colliding
colisiones,-2,collisions
colusión,-3,colluding
combate,-1,combat
combates,-1,combats
comedia,1,comedy
cometer,1,commit
comodidad,2,comfort
comodidad,2,coziness
comodidades,2,comforts
cómodo,2,comfortable
compadecimos,-1,pitied
Comparte,1,shares
compartido,1,shared
compartir,1,share
compasivo,2,compassionate
competente,2,competent
competitivo,2,competitive
complacencia,2,willingness
comprometido,1,committed
comprometiéndose,1,committing
compromiso,2,commitment
con toda tranquilidad,2,peacefully
conceder,1,grant
concedido,1,granted
concesión,1,granting
concilia,2,conciliates
conciliado,2,conciliated
conciliando,2,conciliating
conciliar,2,conciliate
condena,-2,condemns
condenación,-2,condemnation
condenado,-2,condemned
condenado,-2,doomed
condenado,-2,sentenced
condenar,-2,condemn
condenar,-2,doom
confiado,2,entrusted
confiado,2,reliant
confianza,2,confidence
confianza,1,trust
confidente,2,confident
conflictiva,-2,conflictive
conflicto,-2,conflict
conflictos,-2,conflicts
confundir,-2,confuse
confundir,-2,mistaking
confuso,-2,confused
confuso,-2,confusing
conmocionado,-2,shocked
consentimiento,2,consent
consentimientos,2,consents
consolable,2,consolable
consolador,2,comforting
conspiración,-3,conspiracy
consternados,-2,dismayed
constreñido,-2,constrained
consumado,2,accomplished
contagio,-2,contagion
contagios,-2,contagions
contagioso,-1,contagious
contamina,-2,polluter
contamina,-2,pollutes
contaminado,-2,polluted
contaminadores,-2,polluters
contaminar,-2,pollute
contencioso,-2,contentious
contender,-1,contend
contendiendo,-1,contending
contendiente,-1,contender
contento,3,happy
contestable,-2,contestable
contradictorio,-2,conflicting
contratar,1,engage
convence,1,convinces
convencer,1,convince
convencido,1,convinced
convencido,-1,unconvinced
convenido,1,agreed
coño,-5,cunt
coño,-5,twat
corazón pesado,-2,heavyhearted
correo no deseado,-2,spam
cortar,-1,cut
corte,-1,cutting
cortejar,3,woo
cortés,2,courteous
Cortés,3,gracious
cortesía,2,courtesy
cosas interesantes,3,cool stuff
costoso,-2,costly
creativo,2,creative
creciente,1,growing
crecimiento,2,growth
crédulo,-2,gullible
crimen,-3,crime
criminal,-3,criminal
criminales,-3,criminals
crisis,-3,crisis
critica,-2,criticizes
crítica,-2,criticism
criticado,-2,criticized
criticar,-2,criticize
criticar,-2,criticizing
crítico,-2,critic
críticos,-2,critics
cruel,-3,cruel
crueldad,-3,cruelty
cubrir,-3,cover-up
cuchara,3,scoop
cuchillada,-2,slashing
cuestionable,-2,questionable
cuestionado,-2,disputed
cuestionado,-1,questioned
cuidado,2,care
cuidados,2,cares
cuidadosamente,2,carefully
cuidadoso,2,careful
culo,-4,ass
culpa,-3,guilt
culpable,-3,guilty
culpada,-2,blamed
culpando,-2,blaming
Cumple,2,fulfills
cumplido,2,fulfilled
cumplir,2,fulfill
curioso,1,curious
curioso,-2,nosey
da la bienvenida,2,welcomes
dañar,-3,damage
daño,-2,harm
daño,-2,hurting
daños,-2,harms
daños y perjuicios,-3,damages
de acuerdo,1,agree
de buen tono,3,classy
de confianza,2,trusted
de miedo,-2,scary
de mierda,-3,shitty
de poco mérito,-2,undeserving
débil,-2,feeble
débiles,-2,weak
debilidad,-2,weakness
debilitante,-2,wasting
decepción,-2,disappointment
decepciona,-2,disappoints
decepcionado,-2,disappointed
decepcionante,-2,disappointing
decepcionar,-2,disappoint
decepciones,-2,disappointments
decir ah,2,ha
decisivo,1,decisive
dedicado,2,dedicated
defecto,-3,defect
defecto,-2,failing
defectos,-3,defects
defensor,2,defender
defensores,2,defenders
déficit,-2,deficit
defraudador,-4,fraudster
defraudadores,-4,fraudsters
degradado,-2,degraded
degradar,-2,degrade
dejar,-1,leave
dejecting,-2,dejecting
dejects,-2,dejects
delanteros,-2,strikers
deleitando,3,delighting
deleite,3,delight
delicado,-3,killed
delicias,3,delights
delincuente,-2,offender
delito,-3,felony
delitos,-3,felonies
demanda,-1,demand
demanda judicial,-2,lawsuit
demandar,-2,suing
demandas,-1,demands
demandas,-2,lawsuits
demostración,-1,demonstration
denuncia,-2,denounces
denunciar,-2,denounce
deprimente,-2,depressing
Deprimido,-2,depressed
Derecho,1,straight
Deriding,-2,deriding
derrotado,-2,defeated
desacreditada,-2,discredited
desafiante,-1,defiant
desagradable,-3,obnoxious
desairado,-2,snubbed
desaire,-2,snub
desaires,-2,snubs
desalojo,-1,eviction
desanimado,-2,discouraged
desanimado,-2,downhearted
desaparece,-1,disappears
desaparecer,-1,disappear
desaparecido,-1,disappeared
desaparecido,-2,missing
desasosiego,-2,disquiet
desastre,-2,disaster
desastres,-2,disasters
desastroso,-3,disastrous
desatiende,-2,disregards
descalificado,-2,disqualified
descarrila,-2,derails
descarrilado,-2,derailed
descartado,-1,discarded
descarte,-1,discard
descarte,-1,discarding
descartes,-1,discards
desconcertado,-2,embarrassed
desconectado,-1,offline
desconfiado,-3,distrustful
desconfianza,-3,distrust
desconsiderado,-2,inconsiderate
desconsiderado,-2,thoughtless
desconsolado,-2,disconsolate
desconsolado,-2,woebegone
desconsuelo,-2,disconsolation
descontento,-2,discontented
descorazonado,-2,disheartened
descuento,-1,discounted
descuidado,-2,careless
descuidado,-2,neglected
descuido,-2,neglecting
desdén,-2,disdain
desdén,-2,scorn
desdeñosamente,-2,contemptuously
desdeñoso,-2,contemptuous
desdeñoso,-2,scornful
deseable,2,desirable
deseado,2,desired
deseando,1,wishing
desempleo,-2,unemployment
desenfocado,-2,unfocused
deseo,1,desire
deseo,1,wish
deseos,1,wishes
deseoso,2,desirous
desesperación,-3,despair
desesperación,-2,hopelessness
desesperaciones,-3,despairs
desesperadamente,-3,desperately
desesperado,-3,despairing
desesperado,-3,desperate
desestimación,-1,underestimating
desestructurado,-2,disorganized
desfases,-2,lags
desgracia,-2,disgrace
deshecho,-1,dumps
deshonesto,-2,dishonest
deshumaniza,-2,dehumanizes
deshumanizado,-2,dehumanized
deshumanizante,-2,dehumanizing
deshumanizar,-2,dehumanize
desigual,-1,unequal
desilusionado,-2,disillusioned
desinformación,-2,misinformation
desmoralizado,-2,demoralized
desmotivado,-2,unmotivated
desorientado,-2,disoriented
despectivo,-2,disparaging
despedido,-2,fired
despejado,1,cleared
desperdicios,-2,refuse
despistados,-2,clueless
despotricar,-3,rant
desprecio,-2,contempt
despreocupado,1,carefree
despreocupado,-2,unconcerned
destellos,3,sparkles
desterrar,-1,banish
destrozada,-2,shattered
destrucción,-3,destruction
destructivo,-3,destructive
destruido,-3,destroyed
destruir,-3,destroy
destruye,-3,destroys
destruyendo,-3,destroying
desventaja,-2,disadvantage
desventaja,-2,downside
desventurado,-2,hapless
detención,-2,detention
detenciones,-2,arrests
detener,-2,detain
detener,-1,stop
detenido,-3,arrested
detenido,-2,detained
detenido,-1,stopped
determinado,2,determined
detestado,-3,loathed
detestar,-3,loathe
deuda,-2,debt
devastado,-2,devastated
devastador,-2,devastating
devastar,-2,devastate
devoto,3,devoted
diamante,1,diamond
difamatorio,-2,libelous
difícil,-1,difficult
difícil,-1,hard
difícil,-2,uneasy
difiriendo,-1,deferring
digno,2,worthy
dilema,-1,dilemma
Dios,1,god
dipshit,-3,dipshit
dirección correcta,3,right direction
discordia,-2,discord
disculpa,-1,apologising
disculpa,-1,apologizing
disculpa,-1,apology
disculpó,-1,apologised
disculpó,-1,apologized
disfraces,-1,disguises
disfraz,-1,disguise
disfrazado,-1,disguised
disfrazado,-1,disguising
disfruta,2,enjoys
disfrutando,2,enjoying
disfrutar,2,enjoy
disfunción,-2,dysfunction
disgustado,-3,disgusted
disgustado,-2,displeased
disgusto,-2,chagrin
disgusto,-2,dislike
disinclined,-2,disinclined
disparar,-1,shoot
disparates,-2,nonsense
disparo,-2,firing
disputa,-2,dispute
disputando,-2,disputing
disputas,-2,disputes
disrespected,-2,disrespected
disruptivo,-2,disruptive
distorsiona,-2,distorts
distorsionado,-2,distorted
distorsionar,-2,distort
distorsionista,-2,distorting
distracción,-2,distraction
distrae,-2,distracts
distraer,-2,distract
distraído,-2,distracted
disturbios,-2,riots
diversión,3,amusement
diversiones,3,amusements
divertidísimo,2,hilarious
divertido,3,amused
divertido,4,fun
dolor,-2,ache
dolor,-2,aching
dolor,-2,grief
dolor,-2,pain
dolor,-2,sorrow
dolorido,-2,pained
dolorido,-1,sore
doloroso,-2,dolorous
ducha,-3,douche
duda,-1,doubt
dudado,-1,doubted
dudas,-1,doubts
dudoso,-1,doubtful
dudoso,-2,dubious
duele,-2,hurts
dulce,2,sweet
duro,-2,harsh
echar a perder,-2,messing up
eficaz,2,effective
eficazmente,2,effectively
egoísmo,-3,selfishness
egoísta,-3,selfish
ejecuciones,-2,foreclosures
el alivio,2,relieving
el corazón roto,-3,heartbroken
elación,3,elation
elegante,2,chic
elegante,2,debonair
elegante,2,elegant
elogiado,2,commended
elogiar,2,commend
embaraza,-2,embarrasses
embarazoso,-2,embarrassing
embaucar,-2,bamboozle
embellecer,3,beautify
emergencia,-2,emergency
emoción,3,excitement
emocionado,2,agog
emocionado,3,excited
emocionante,3,exciting
empalaga;,-3,loathes
empático,2,empathetic
empeora,-3,worsens
empeorado,-3,worsened
empeoramiento,-3,worsening
empeorar,-3,worsen
empequeñecer,-2,belittle
empollando,-2,brooding
emprendedor,1,enterprising
en mal estado,-2,messed
encalar,-3,whitewash
encantada,2,enchanted
Encantado,3,delighted
encantador,3,charming
encantador,3,lovely
encantados,5,thrilled
encanto,3,charm
encarcelado,-2,imprisoned
encarcelado,-2,jailed
enconado,-2,inflamed
endosado,2,endorsed
endosar,2,endorse
enemigo,-2,enemy
enemigos,-2,enemies
enemigos,-3,haters
energético,2,energetic
enérgico,2,brisk
enérgico,2,spirited
enfado,-3,anger
enfermedad,-2,illness
enfermedades,-2,illnesses
enfermo,-2,ill
enfermos,-2,sick
enfocado,2,focused
enfurece,-2,infuriates
Enfurecedora,-2,enraging
enfurecer,-2,enrage
enfurecer,-2,infuriate
enfurecido,-2,enraged
enfurecido,-2,infuriated
engancha,1,engages
engaña,-3,deceives
engañado,-2,bamboozled
engañado,-3,cheated
engañado,-3,deceived
engañado,-2,duped
engañar,-3,cheat
engañar,-3,deceive
engañar,-2,dupe
engaño,-3,deceit
engaño,-3,deception
engañoso,-3,deceitful
engañoso,-3,deceiving
engañoso,-3,misleading
engreído,-2,cocky
enhorabuena,2,congratulation
enjuicia,-1,prosecutes
enjuiciamiento,-1,prosecution
enjuiciar,-1,prosecute
enloquecedor,-3,maddening
enojado,-3,angry
enojado,-3,mad
enorme,1,huge
enragés,-2,enrages
ensordecedor,-1,deafening
entender mal,-2,misunderstand
entiende mal,-2,misunderstands
entretener,3,amuse
entretenido,2,entertaining
entristecer,-2,sadden
entristecido,-2,saddened
entumecido,-1,numb
entusiasta,3,enthusiastic
envenenado,-2,poisoned
envidia,-1,envy
envidias,-1,envies
envidioso,-2,envious
envío de correo basura,-2,spamming
equivocado,-2,mistaken
erróneo,-2,erroneous
error,-2,error
Error,-2,mistake
errores,-2,errors
errores,-2,mistakes
erupción,-2,rash
es una pena,-2,ashame
escalofriante,-1,chilling
escándalo,-3,scandal
escándalos,-3,scandals
escandaloso,-3,scandalous
escapa,-1,escapes
escapar,-1,escape
escapar,-1,escaping
escasez,-2,shortage
escasez,-2,shortages
escepticismo,-2,skepticism
escéptico,-2,sceptical
escéptico,-2,skeptic
escéptico,-2,skeptical
escépticos,-2,skeptics
esclarecedor,2,enlightening
esclavitud,-3,slavery
esclaviza,-2,enslaves
esclavizado,-2,enslaved
esclavizar,-2,enslave
esconder,-1,hide
escondido,-1,hid
escoria,-4,scumbag
esmeradamente,2,elegantly
espalda,1,backs
espantado,-2,aghast
especulativo,-2,speculative
Espera,-1,awaits
esperado,-1,awaited
esperando,2,hoping
esperanza,2,hope
esperanzado,2,hopeful
esperanzas,2,hopes
esperar,-1,await
espinoso,-2,thorny
espíritu,1,spirit
espléndido,3,splendid
espumoso,3,sparkling
está de acuerdo,1,agrees
está de duelo,-2,mourns
estable,2,stable
establecido,1,vested
estafa,-2,scam
estafa,-3,swindle
estafas,-2,scams
estafas,-3,swindles
estampida,-2,stampede
estancado,-2,stalled
estancamiento,-2,stalling
estar al acecho,-1,lurk
estereotipo,-2,stereotype
esteriotipado,-2,stereotyped
estimado,3,admired
estimado,2,esteemed
estimula,1,stimulates
estimulado,1,stimulated
estimulante,3,exhilarating
estimulante,2,stimulating
estimular,1,stimulate
estragos,-2,havoc
estrangulado,-2,choked
estrangulado,-2,strangled
estranguladores,-2,chokes
estresado,-2,stressed
estresor,-2,stressor
estupendo,3,great
estupendo,4,terrific
estúpidamente,-2,stupidly
Estúpido,-4,asshole
estúpido,-2,stupid
ético,2,ethical
euforia,3,euphoria
eufórico,4,euphoric
evita,-1,averts
Evita,-1,avoids
evitado,-1,averted
evitado,-1,avoided
evitar,-1,avert
evitar,-1,avoid
evitar,-1,prevent
exagera,-2,exaggerates
exageración,-2,overstatement
exageraciones,-2,overstatements
exagerado,-2,exaggerated
exagerando,-2,exaggerating
exagerar,-2,exaggerate
exagerar,-2,oversell
exaltado,3,elated
exasperada,2,exasperated
exasperante,-2,infuriating
excelencia,3,excellence
excelente,3,excellent
excepcional,5,outstanding
exceso de peso,-1,overweight
excitar,3,excite
excluidos,-2,excluded
excluir,-1,exclude
exclusión,-1,exclusion
exclusivo,2,exclusive
excusa,-1,excuse
exhaustivo,2,comprehensive
exigente,-1,demanding
exigido,-1,demanded
eximir,-1,exempt
éxito,2,success
éxito de taquilla,3,blockbuster
exitoso,3,successful
exonera,2,exonerates
exonerado,2,exonerated
exonerando,2,exonerating
exonerar,2,exonerate
expande,1,expands
expandir,1,expand
exploits,-2,exploits
exploración,1,exploration
exploraciones,1,explorations
explotado,-2,exploited
explotado,-2,wronged
explotando,-2,exploiting
explotar,-2,exploit
expone,-1,exposes
exponer,-1,expose
exposición,-1,exposing
expuesto,-1,exposed
expulsa,-2,expels
expulsado,-2,expelled
expulsando,-2,expelling
expulsar,-2,expel
extasiar,3,enrapture
éxtasis,2,raptures
extático,4,ecstatic
extático,4,rapturous
extrañamente,-1,strangely
extraño,-2,bizarre
extraño,-1,strange
extraño,-2,weird
exuberante,4,exuberant
exultante,3,exultantly
fabuloso,4,fabulous
fácil,1,easy
facilitar,2,ease
factores de estrés,-2,stressors
faggots,-3,faggots
falla,-2,fails
fallar,-2,fail
falsificación,-3,faking
falsificaciones,-3,fakes
falsificado,-3,falsified
falsificar,-3,falsify
falso,-2,dud
falso,-3,fake
falta de respeto,-2,disrespect
fama,1,fame
famélico,-2,starved
fanático,-2,zealot
fanáticos,-2,zealots
fantasma,-1,ghost
fantástico,4,fantastic
farsa,-1,farce
farsa,-2,hoax
fascina,3,fascinates
fascinado,3,fascinated
fascinante,3,fascinating
fascinar,3,fascinate
fascista,-2,fascist
fascistas,-2,fascists
fastidioso,-2,bothersome
fatalidad,-3,fatality
fatiga,-2,fatigue
fatigado,-2,fatigued
fatigas,-2,fatigues
fatigoso,-2,fatiguing
favor,2,favor
favorecido,2,favored
favores,2,favors
favorito,2,favorite
favorito,2,favorited
favoritos,2,favorites
fe,1,faith
felicidad,3,bliss
felicidad,3,happiness
felicidades,2,congrats
felicitaciones,2,congratulations
felicitar,2,congratulate
feliz,3,blissful
feo,-3,ugly
ferviente,2,fervent
fervoroso,2,fervid
festivo,2,festive
fiasco,-3,fiasco
fiel,3,faithful
filtrada,-1,leaked
finge,-1,pretends
fingir,-1,pretend
firme,2,steadfast
flop,-2,flops
fóbico,-2,phobic
follada,-4,fucked
fortalece,2,strengthens
fortalecer,2,strengthen
fortalecimiento,2,strengthening
fortificado,2,strengthened
forzado,-1,forced
fracaso,-2,failure
fracaso,-2,flop
fracasos,-2,failures
frase,-2,sentence
frases,-2,sentences
fraude,-4,fraud
fraude,-4,fraudulence
fraudes,-4,frauds
fraudulento,-4,fraudulent
frenesí,-3,frenzy
frenético,-1,frantic
Fresco,1,fresh
frikin,-2,frikin
frotis,-2,smear
frustra,-2,frustrates
frustración,-2,frustration
frustrado,-2,frustrated
frustrado,-2,thwarted
frustrante,-2,frustrating
frustrar,-2,frustrate
frustrar,-2,thwart
frustrar,-2,thwarting
ftw,3,ftw
Fuckface,-4,fuckface
fuckhead,-4,fuckhead
fucktard,-4,fucktard
FUD,-3,fud
fuego,-2,fire
fuerte,2,strong
fuerza,2,strength
fuga,-1,leak
fuked,-4,fuked
fuking,-4,fuking
fumante,-2,fuming
